"Ignore","Company","Paddle","Price","Face Material","Grip length","Core Material","Core thickness in mm","Grip thickness","Shape","RPM","Weight","Swing weight","Twist weight","YouTube Review","Link to purchase","Discount code","CODES","Notes","Discount","Paddle Tier"
"157","Selkirk","Vanguard Omni 2.0","199.99","Carbon Fiber","4.25","Polymer Honeycomb","16","4.25","Elongated","1163","7.3-8.3oz","113","6.01","","https://bit.ly/3PvGMT5","ADV-PBSTUDIO to receive a digital gift card","","","","High-end"
"158","Selkirk","Vanguard Epic 2.0","199.99","Carbon Fiber","5.25","Polymer Honeycomb","16","4.25","Standard","1134","7.3-8.3oz","109","6.68","","https://bit.ly/3PvGMT5","ADV-PBSTUDIO to receive a digital gift card","","","","High-end"
"159","Selkirk","Amped S2","149.99","Fiberglass","4.5","Polymer Honeycomb","16","4.25","Standard","1367","7.3-8.4oz","101","6.69","","https://bit.ly/3r2Ns1m","ADV-PBSTUDIO to receive a digital gift card","","","","High-end"
"160","Selkirk","Amped Epic","149.99","Fiberglass","5.25","Polymer Honeycomb","16","4.25","Standard","1512","7.2-8.4oz","107","6.52","","https://bit.ly/3r2Ns1m","ADV-PBSTUDIO to receive a digital gift card","","","","High-end"
"161","Selkirk","Amped Invikta","149.99","Fiberglass","5.25","Polymer Honeycomb","16","4.25","Elongated","1443","7.3-8.3oz","108","5.94","","https://bit.ly/3r2Ns1m","ADV-PBSTUDIO to receive a digital gift card","ADV-PBSTUDIO","","Depends on amount you ordered. You receive a digital gift card","High-end"
"162","Selkirk Labs","Project 001 Epic","333","Carbon Fiber","5.25","Polymer Honeycomb","13","4","Standard","991","7.7-8.3oz","103","","https://www.youtube.com/watch?v=M8OgwkqN6Kg&t=1s","https://bit.ly/3PtVU39","ADV-PBSTUDIO to receive a digital gift card","","","","High-end"
"163","Selkirk Labs","Project 001 Invikta","333","Carbon Fiber","5.25","Polymer Honeycomb","13","4","Standard","987","7.7-8.3oz","","","https://www.youtube.com/watch?v=M8OgwkqN6Kg&t=1s","https://bit.ly/3PtVU39","ADV-PBSTUDIO to receive a digital gift card","","","","High-end"
"164","Selkirk Labs","Project 002 Invikta","333","Carbon Fiber, Fiberglass","5.25","Polymer Honeycomb","13","4.25","Elongated","1800","8.1-8.4oz","113","","https://www.youtube.com/watch?v=9EK4lsIYaCw","https://bit.ly/3PvGaNh","ADV-PBSTUDIO to receive a digital gift card","","After very extended use, it does appear that the numbers were dropping slightly into the 1600-1700 ish range. But that's after very extensive use. Overall holding up quite well.","","High-end"
"165","Selkirk Labs","Project 003 Epic","333","Carbon Fiber","5.25","Polymer Honeycomb","20","4.25","Standard","1740","7.5-7.8oz","98","","https://www.youtube.com/watch?v=oWkucb04HGk","https://bit.ly/3Z64gRR","ADV-PBSTUDIO to receive a digital gift card","","","","High-end"
"166","Selkirk Labs","Project 003 Invikta","333","Carbon Fiber","5.5","Polymer Honeycomb","20","4.25","Elongated","1800","7.5-7.8oz","105","5.44","https://youtu.be/wWHDyvNTciI","https://bit.ly/3Z64gRR","ADV-PBSTUDIO to receive a digital gift card","","Just like the 002, after about 1.5 months of use, I did see a RPM decline of about 150 ish. 1624 RPM was the new result. Still quite a good result despite heavy use for singles and doubles.","","High-end"
"167","Selkirk Labs","Project 005 Invikta","222","Fiberglass","5.25","Polymer Honeycomb","16","4.25","Elongated","1449","7.7-8.1oz","120","6.13","https://www.youtube.com/watch?v=11SbBnnC3sw&t=3s&ab_channel=PickleballStudio","https://bit.ly/3NsezdA","ADV-PBSTUDIO to receive a digital gift card","","","","High-end"
"168","Selkirk Labs","Project 005 Epic","222","Fiberglass","5.25","Polymer Honeycomb","16","4.25","Standard","1621","7.7-8.1oz","107","6.67","https://www.youtube.com/watch?v=11SbBnnC3sw&t=3s&ab_channel=PickleballStudio","https://bit.ly/3NsezdA","ADV-PBSTUDIO to receive a digital gift card","","","","High-end"
"169","Selkirk Labs","Project 006 Tour","333","Raw carbon fiber","5.75","Polymer Honeycomb","16","4.25","Elongated","2141","8.3-8.7","117","5.89","https://youtu.be/1F7dGMnq6-U","https://bit.ly/3NkYKFe ","ADV-PBSTUDIO to receive a digital gift card","","","","High-end"
"170","Selkirk","Vanguard Power Air","249.99","Carbon Fiber, Fiberglass","5.25","Polymer Honeycomb","13","4.25","Elongated","1851","8.0oz","112","5.58","https://www.youtube.com/watch?v=1gkkyeeoJCw","https://bit.ly/3SPbzdb","ADV-PBSTUDIO to receive a digital gift card","","","","High-end"
"171","SixZero","Sapphire","86","Carbon Fiber","5.6","Polymer Honeycomb","13","4.25","Elongated","1664","8.0oz","108","5.5","","http://bit.ly/3K4LTp0","PBSTUDIO 10% OFF","","","","Midrange"
"172","SixZero","Black Diamond","180","Fiberglass","5.3","Polymer Honeycomb","16","4.25","Hybrid","1927","8.0oz","116","6.65","","http://bit.ly/3Ki9unE","PBSTUDIO 10% OFF","PBSTUDIO","","10%","High-end"
"173","SixZero","Double Black Diamond 14mm ","180","Raw carbon fiber","5.3","Polymer Honeycomb","14","4.25","Hybrid","1927","8.0oz","110","6.28","","http://bit.ly/3FZM4kq","PBSTUDIO 10% OFF","","","","High-end"
